Pakelimo_iraso_ID,Konteinerio_Nr,Konteinerio_RFID,Konteinerio_talpa,Konteinerio_latitude,Konteinerio_longitude,Konteinerio_vietove,Konteinerio_gatve,Konteinerio_namas,Vezejas,Automobilis,Pakelimo_data__laikas,Svoris_kg_,Pakelimo_tasko_latitude,Pakelimo_tasko_longitude,Duomenu_pateikimo_data__laikas,Zona
267219,13-L-218619,0512021373FEDCBA00063372,5,54.668,25.1019,Grigiškių m.,Kovo 11-osios g.,55,Ekonovus,,2/2/2023 12:09:21 PM,0.1805,54.668,25.1017,2/2/2023 12:57:23 PM,Vilniaus m. BA3
267600,13-L-211572,E200001D810502691210EF26,5,54.6697,25.0903,Grigiškių m.,Kunigiškių g.,14,Ekonovus,,2/2/2023 12:41:29 PM,0.19,54.6696,25.0903,2/2/2023 1:28:37 PM,Vilniaus m. BA3
267220,13-L-221090,E2004716A4D06026E3B90108,5,54.6677,25.1015,Grigiškių m.,Kovo 11-osios g.,55A,Ekonovus,,2/2/2023 12:09:29 PM,0.1505,54.6681,25.1015,2/2/2023 12:57:23 PM,Vilniaus m. BA3
267431,13-L-210405,E200001706020279180060EF,5,54.6717,25.0945,Grigiškių m.,Vilniaus g.,51,Ekonovus,,2/2/2023 12:33:44 PM,0.1505,54.6716,25.0945,2/2/2023 1:17:00 PM,Vilniaus m. BA3
261668,13-L-313588,E20047184C906026FE35010E,1.1,54.6859,25.2601,Vilniaus m.,A. Goštauto g.,40A,Ekonovus,,2/2/2023 3:51:05 AM,0.0375,54.686,25.2606,2/2/2023 4:43:16 AM,Vilniaus m. BA5
262749,13-L-218698,0512021373FEDCBA00063293,0.24,54.6488,25.2764,Vilniaus m.,A. Gustaičio g.,17,Ekonovus,,2/2/2023 6:18:55 AM,0.0095,54.6488,25.2764,2/2/2023 6:52:25 AM,Vilniaus m. BA3
262953,13-L-215680,E200001C3619010422604414,0.24,54.6484,25.2765,Vilniaus m.,A. Gustaičio g.,17,Ekonovus,,2/2/2023 6:20:09 AM,0.009,54.6484,25.2766,2/2/2023 7:04:55 AM,Vilniaus m. BA3
262048,13-L-313606,E2004717EF806026F864010F,1.1,54.6911,25.2747,Vilniaus m.,A. Goštauto g.,4,Ekonovus,,2/2/2023 4:59:00 AM,0.0375,54.6911,25.2755,2/2/2023 5:43:26 AM,Vilniaus m. BA5
264893,13-L-202862,E20000170616017517606487,0.24,54.6668,25.2861,Vilniaus m.,A. Jaroševičiaus g.,8,Ekonovus,,2/2/2023 8:54:22 AM,0.009,54.6668,25.286,2/2/2023 9:34:26 AM,Vilniaus m. BA3
261865,13-L-313639,E2004717E1006026F77C010C,1.1,54.6914,25.288,Vilniaus m.,A. Juozapavičiaus g.,13,Ekonovus,,2/2/2023 4:22:29 AM,0.04,54.6938,25.2852,2/2/2023 5:13:19 AM,Vilniaus m. BA5
265454,13-L-214295,E200001C36180085072037BA,1.1,54.6661,25.2853,Vilniaus m.,A. Jaroševičiaus g.,12,Ekonovus,,2/2/2023 9:44:52 AM,0.042,54.6662,25.2854,2/2/2023 10:24:29 AM,Vilniaus m. BA3
261736,13-L-311593,E2004712404060269D700112,1.1,54.6932,25.2822,Vilniaus m.,A. Juozapavičiaus g.,6A,Ekonovus,,2/2/2023 4:15:53 AM,0.0355,54.6933,25.2815,2/2/2023 4:53:12 AM,Vilniaus m. BA5
262186,13-L-313787,E200471762206026EF8E010D,1.1,54.6866,25.2757,Vilniaus m.,A. Smetonos g.,7A,Ekonovus,,2/2/2023 5:14:02 AM,0.0425,54.6864,25.2756,2/2/2023 5:53:27 AM,Vilniaus m. BA5
262034,13-L-313664,E2004717F2706026F893010E,1.1,54.6909,25.2762,Vilniaus m.,A. Vienuolio g.,14,Ekonovus,,2/2/2023 4:56:16 AM,0.039,54.6909,25.2765,2/2/2023 5:43:25 AM,Vilniaus m. BA5
264470,13-L-313637,E2004717DE806026F754010C,1.1,54.679,25.2651,Vilniaus m.,A. Vivulskio g.,23,Ekonovus,,2/2/2023 8:18:32 AM,0.0405,54.679,25.2646,2/2/2023 8:54:35 AM,Vilniaus m. BA5
264471,13-L-313198,E200470839606026FD02010B,1.1,54.679,25.2651,Vilniaus m.,A. Vivulskio g.,23,Ekonovus,,2/2/2023 8:18:56 AM,0.04,54.679,25.2646,2/2/2023 8:54:35 AM,Vilniaus m. BA5
