Vezejas;Duomenu pateikimo data;Pakelimai uz diena;Pakelimu sk.
Ecoservice;2019-03-28;2019-03-23;5
Ecoservice;2019-03-28;2019-03-24;5
Ecoservice;2019-03-28;2019-03-25;15
Ecoservice;2019-03-28;2019-03-26;407
Ecoservice;2019-03-28;2019-03-27;4242
Ekonovus;2019-03-28;2019-03-05;1
Ekonovus;2019-03-28;2019-03-11;3
Ekonovus;2019-03-28;2019-03-12;1
Ekonovus;2019-03-28;2019-03-13;3
Ekonovus;2019-03-28;2019-03-14;5
Ekonovus;2019-03-28;2019-03-15;4
Ekonovus;2019-03-28;2019-03-16;1
Ekonovus;2019-03-28;2019-03-18;4
Ekonovus;2019-03-28;2019-03-19;5
Ekonovus;2019-03-28;2019-03-20;5
Ekonovus;2019-03-28;2019-03-21;7
Ekonovus;2019-03-28;2019-03-22;5
Ekonovus;2019-03-28;2019-03-23;1
Ekonovus;2019-03-28;2019-03-25;3
Ekonovus;2019-03-28;2019-03-26;5
Ekonovus;2019-03-28;2019-03-27;5
Ekonovus;2019-03-28;2019-03-28;1065
VSA Vilnius;2019-03-28;2019-03-28;1253
