Isvezimo plano ID;Konteinerio Nr;Konteinerio talpa;Konteinerio_vietove;Konteinerio_gatve;Konteinerio_namas;Konteinerio_butas;Konteinerio RFID;Konteinerio longitude;Konteinerio latitude;Planuojama isvezimo data;Vezejas
11213007;13-L-210306;0.24;Vilniaus m.;Abromiðkiø g.;3;NULL;E20000170602027716906BEF;54.648052;25.085493;43530;Ekonovus
11213008;13-L-210306;0.24;Vilniaus m.;Abromiðkiø g.;3;NULL;E20000170602027716906BEF;54.648052;25.085493;43544;Ekonovus
11213015;13-L-210307;0.12;Vilniaus m.;Abromiðkiø g.;7;NULL;E2000017060202771020B8FA;54.648052;25.085493;43530;Ekonovus
11213016;13-L-210307;0.12;Vilniaus m.;Abromiðkiø g.;7;NULL;E2000017060202771020B8FA;54.648052;25.085493;43544;Ekonovus
11212764;13-L-210239;0.12;Vilniaus m.;Liepø al.;26;NULL;E2000017060202781020B902;54.631052;25.089235;43537;Ekonovus
11212765;13-L-210239;0.12;Vilniaus m.;Liepø al.;26;NULL;E2000017060202781020B902;54.631052;25.089235;43551;Ekonovus
11213044;13-L-210321;0.77;Vilniaus m.;Liepø al.;12A;NULL;E20000170602027316707069;54.630483;25.097546;43537;Ekonovus
11213045;13-L-210321;0.77;Vilniaus m.;Liepø al.;12A;NULL;E20000170602027316707069;54.630483;25.097546;43551;Ekonovus
11213023;13-L-210308;0.12;Vilniaus m.;Mûrinës Vokës g.;10;NULL;E20000170602027419604F86;54.648732;25.115457;43530;Ekonovus
11213024;13-L-210308;0.12;Vilniaus m.;Mûrinës Vokës g.;10;NULL;E20000170602027419604F86;54.648732;25.115457;43544;Ekonovus
11213893;13-L-210478;1.10;Vilniaus m.;Pirkliø g.;5;NULL;E200001706020273221034A5;54.654662;25.145655;43530;Ekonovus
11213894;13-L-210478;1.10;Vilniaus m.;Pirkliø g.;5;NULL;E200001706020273221034A5;54.654662;25.145655;43537;Ekonovus
11213895;13-L-210478;1.10;Vilniaus m.;Pirkliø g.;5;NULL;E200001706020273221034A5;54.654662;25.145655;43544;Ekonovus
11213896;13-L-210478;1.10;Vilniaus m.;Pirkliø g.;5;NULL;E200001706020273221034A5;54.654662;25.145655;43551;Ekonovus
11182776;13-L-206655;0.12;Vilniaus m.;Joèioniø g.;13;NULL;E20000175713020718105E4A;54.666820;25.157948;43532;Ekonovus
11182777;13-L-206655;0.12;Vilniaus m.;Joèioniø g.;13;NULL;E20000175713020718105E4A;54.666820;25.157948;43546;Ekonovus
11212757;13-L-210237;0.12;Vilniaus m.;Joèioniø g.;37;NULL;E20000170602027819005831;54.667327;25.164073;43532;Ekonovus
11212758;13-L-210237;0.12;Vilniaus m.;Joèioniø g.;37;NULL;E20000170602027819005831;54.667327;25.164073;43546;Ekonovus
11212873;13-L-210256;0.77;Vilniaus m.;Jankiðkiø g.;19;NULL;E2000017060202771030B6F2;54.651662;25.197374;43531;Ekonovus
11212874;13-L-210256;0.77;Vilniaus m.;Jankiðkiø g.;19;NULL;E2000017060202771030B6F2;54.651662;25.197374;43538;Ekonovus
11212875;13-L-210256;0.77;Vilniaus m.;Jankiðkiø g.;19;NULL;E2000017060202771030B6F2;54.651662;25.197374;43545;Ekonovus
11212876;13-L-210256;0.77;Vilniaus m.;Jankiðkiø g.;19;NULL;E2000017060202771030B6F2;54.651662;25.197374;43552;Ekonovus
11213037;13-L-210313;0.12;Vilniaus m.;Ûmëdþiø g.;77;NULL;E20000170602027419804F82;54.640144;25.209995;43532;Ekonovus
11213038;13-L-210313;0.12;Vilniaus m.;Ûmëdþiø g.;77;NULL;E20000170602027419804F82;54.640144;25.209995;43546;Ekonovus
11212198;13-L-210068;0.12;Vilniaus m.;Ûmëdþiø g.;113;NULL;E20000170602028817006E44;54.637595;25.212370;43532;Ekonovus
11212199;13-L-210068;0.12;Vilniaus m.;Ûmëdþiø g.;113;NULL;E20000170602028817006E44;54.637595;25.212370;43546;Ekonovus
11212893;13-L-210259;0.24;Vilniaus m.;Ðumsko g.;111;NULL;E2000017060202750960BD18;54.628341;25.215108;43529;Ekonovus
11212894;13-L-210259;0.24;Vilniaus m.;Ðumsko g.;111;NULL;E2000017060202750960BD18;54.628341;25.215108;43543;Ekonovus
11212853;13-L-210253;0.12;Vilniaus m.;Ðumsko g.;107;NULL;E2000017060202781000B906;54.628503;25.215543;43529;Ekonovus
11212854;13-L-210253;0.12;Vilniaus m.;Ðumsko g.;107;NULL;E2000017060202781000B906;54.628503;25.215543;43543;Ekonovus
11212886;13-L-210258;0.24;Vilniaus m.;Ðumsko g.;240;NULL;E20000170602027716806E2F;54.627351;25.217783;43529;Ekonovus
11212887;13-L-210258;0.24;Vilniaus m.;Ðumsko g.;240;NULL;E20000170602027716806E2F;54.627351;25.217783;43543;Ekonovus
11212050;13-L-210016;1.10;Vilniaus m.;Raèiø g.;1;NULL;E200001706020287147086DC;54.653112;25.224633;43531;Ekonovus
11212051;13-L-210016;1.10;Vilniaus m.;Raèiø g.;1;NULL;E200001706020287147086DC;54.653112;25.224633;43538;Ekonovus
11212052;13-L-210016;1.10;Vilniaus m.;Raèiø g.;1;NULL;E200001706020287147086DC;54.653112;25.224633;43545;Ekonovus
11212053;13-L-210016;1.10;Vilniaus m.;Raèiø g.;1;NULL;E200001706020287147086DC;54.653112;25.224633;43552;Ekonovus
11213031;13-L-210309;0.12;Vilniaus m.;Raèiø g.;6A;NULL;E20000170602028119604F8E;54.655222;25.228589;43538;Ekonovus
11213032;13-L-210309;0.12;Vilniaus m.;Raèiø g.;6A;NULL;E20000170602028119604F8E;54.655222;25.228589;43552;Ekonovus
11212913;13-L-210261;0.24;Vilniaus m.;Uþusienio g.;71;NULL;E20000170602027717906322;54.632984;25.232070;43529;Ekonovus
11212914;13-L-210261;0.24;Vilniaus m.;Uþusienio g.;71;NULL;E20000170602027717906322;54.632984;25.232070;43543;Ekonovus
11212192;13-L-210062;0.24;Vilniaus m.;Salininkø g.;190;NULL;E20000170602028618405C9E;54.610265;25.238617;43535;Ekonovus
11212193;13-L-210062;0.24;Vilniaus m.;Salininkø g.;190;NULL;E20000170602028618405C9E;54.610265;25.238617;43549;Ekonovus
11212280;13-L-210078;0.24;Vilniaus m.;Kelmijos Sodø 1-oji g.;21;NULL;E20000175713027819005208;54.604551;25.238737;43535;Ekonovus
11212281;13-L-210078;0.24;Vilniaus m.;Kelmijos Sodø 1-oji g.;21;NULL;E20000175713027819005208;54.604551;25.238737;43549;Ekonovus
11127934;13-L-201480;0.14;Vilniaus m.;Kelmijos Sodø 36-oji g.;62;NULL;E2000017561102290810C924;54.597081;25.245217;43535;Ekonovus
11127935;13-L-201480;0.14;Vilniaus m.;Kelmijos Sodø 36-oji g.;62;NULL;E2000017561102290810C924;54.597081;25.245217;43549;Ekonovus
11212063;13-L-210022;0.24;Vilniaus m.;Kelmijos Sodø 39-oji g.;17;NULL;E20000170602028815108269;54.593553;25.246510;43535;Ekonovus
11212064;13-L-210022;0.24;Vilniaus m.;Kelmijos Sodø 39-oji g.;17;NULL;E20000170602028815108269;54.593553;25.246510;43549;Ekonovus
11212186;13-L-210061;0.24;Vilniaus m.;Kelmijos Sodø 42-oji g.;6;NULL;E200001706020289174069CC;54.592027;25.247267;43535;Ekonovus
11212187;13-L-210061;0.24;Vilniaus m.;Kelmijos Sodø 42-oji g.;6;NULL;E200001706020289174069CC;54.592027;25.247267;43549;Ekonovus
11212211;13-L-210070;0.24;Vilniaus m.;Kelmijos Sodø 38-oji g.;14;NULL;E20000175713028916207080;54.594305;25.247282;43535;Ekonovus
11212212;13-L-210070;0.24;Vilniaus m.;Kelmijos Sodø 38-oji g.;14;NULL;E20000175713028916207080;54.594305;25.247282;43549;Ekonovus
11213001;13-L-210305;0.12;Vilniaus m.;Kelmijos Sodø 26-oji g.;7;NULL;E20000170602027514208D8A;54.600240;25.247452;43535;Ekonovus
11213002;13-L-210305;0.12;Vilniaus m.;Kelmijos Sodø 26-oji g.;7;NULL;E20000170602027514208D8A;54.600240;25.247452;43549;Ekonovus
11212069;13-L-210023;0.24;Vilniaus m.;Kelmijos Sodø 41-oji g.;42;NULL;E200001706020288131098CC;54.591057;25.247873;43535;Ekonovus
11212070;13-L-210023;0.24;Vilniaus m.;Kelmijos Sodø 41-oji g.;42;NULL;E200001706020288131098CC;54.591057;25.247873;43549;Ekonovus
11212989;13-L-210304;0.12;Vilniaus m.;Kelmijos Sodø 21-oji g.;29;NULL;E2000017060202751160A800;54.602558;25.248997;43535;Ekonovus
11212990;13-L-210304;0.12;Vilniaus m.;Kelmijos Sodø 21-oji g.;29;NULL;E2000017060202751160A800;54.602558;25.248997;43549;Ekonovus
11213907;13-L-210483;0.24;Vilniaus m.;Kelmijos Sodø 28-oji g.;2;NULL;E2000017060202801150AA3A;54.601968;25.252295;43535;Ekonovus
11213908;13-L-210483;0.24;Vilniaus m.;Kelmijos Sodø 28-oji g.;2;NULL;E2000017060202801150AA3A;54.601968;25.252295;43549;Ekonovus
11212977;13-L-210280;0.24;Vilniaus m.;Kelmijos Sodø 29-oji g.;17;NULL;E20000170602027715807BA2;54.600315;25.253784;43535;Ekonovus
11212978;13-L-210280;0.24;Vilniaus m.;Kelmijos Sodø 29-oji g.;17;NULL;E20000170602027715807BA2;54.600315;25.253784;43549;Ekonovus
11212995;13-L-210303;0.24;Vilniaus m.;Salininkø g.;156;NULL;E2000017060202741770631D;54.605318;25.254051;43535;Ekonovus
11212996;13-L-210303;0.24;Vilniaus m.;Salininkø g.;156;NULL;E2000017060202741770631D;54.605318;25.254051;43549;Ekonovus
11213926;13-L-210490;0.24;Vilniaus m.;Salininkø g.;142;NULL;E20000170602028020604704;54.605198;25.254597;43535;Ekonovus
11213927;13-L-210490;0.24;Vilniaus m.;Salininkø g.;142;NULL;E20000170602028020604704;54.605198;25.254597;43549;Ekonovus
11212205;13-L-210069;0.24;Vilniaus m.;Kelmijos Sodø 43-ioji g.;43;NULL;E20000175713028814808204;54.601078;25.255020;43535;Ekonovus
